"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_filters","early_terminate.eta","early_terminate.min_iter","early_terminate.type","learning_rate","loss_visibility_floor","method","metric.goal","metric.name","parameters.base_filterss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.loss_visibility_floor.distribution","parameters.loss_visibility_floor.max","parameters.loss_visibility_floor.min","parameters.vector_loss_weight.distribution","parameters.vector_loss_weight.max","parameters.vector_loss_weight.min","parameters.vector_mask_floor.distribution","parameters.vector_mask_floor.max","parameters.vector_mask_floor.min","parameters.visibility_loss_weight.distribution","parameters.visibility_loss_weight.max","parameters.visibility_loss_weight.min","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","vector_loss_weight","vector_mask_floor","visibility_loss_weight","weight_decay","epoch","train_loss","val_loss"
"blooming-sweep-12","","false","failed","-","","","2026-04-22T18:37:09.000Z","115","4z2bc56q","8","","","","0.00008836458213264504","0.41886336646444167","","","","","","","","","","","","","","","","","","","","","","","9.541720463182118","0.16914645131477923","0.631221345036012","0.0010900404886700717","11","1.6307815629988909","1.645891722291708"
"true-sweep-1","","false","finished","-","","","2026-04-22T16:09:59.000Z","545","4z2bc56q","16","","","","0.000050009934327090755","0.204773617647049","","","","","","","","","","","","","","","","","","","","","","","5.654286261817805","0.07985987235230628","0.17023142361785087","0.0000010448883974154795","40","0.719997520558536","0.742139189504087"
"vivid-sweep-2","","false","finished","-","","","2026-04-22T16:19:15.000Z","866","4z2bc56q","32","","","","0.0004358293284466436","0.4173209340408048","","","","","","","","","","","","","","","","","","","","","","","1.589928107012612","0.14734861329251583","0.5401412381265205","0.00009137320782332172","34","0.4534251760924235","0.4769535446539521"
"dauntless-sweep-19","","false","failed","-","","","2026-04-22T20:00:11.000Z","354","4z2bc56q","32","","","","0.0004129296379222813","0.19597767306489555","","","","","","","","","","","","","","","","","","","","","","","3.686194884083996","0.17448905925832503","0.10050922229770326","0.000006803435413467398","12","0.4525412872317247","0.4656438007950783"
"lunar-sweep-4","","false","finished","-","","","2026-04-22T16:51:05.000Z","1043","4z2bc56q","32","","","","0.000060211746106096126","0.17771988008587536","","","","","","","","","","","","","","","","","","","","","","","2.5624828391129","0.1796008113152819","0.31476114085807916","0.000022672183266491137","40","0.4369155254098587","0.4616084690205753"
"snowy-sweep-13","","false","failed","-","","","2026-04-22T18:39:09.000Z","298","4z2bc56q","32","","","","0.000011870867800414712","0.38168788959402405","","","","","","","","","","","","","","","","","","","","","","","1.6365465199488285","0.15212157629376535","0.35232230162163547","0.00009574496927136156","11","0.4326122882193886","0.4396556406281889"
"breezy-sweep-9","","false","failed","-","","","2026-04-22T18:19:06.000Z","179","4z2bc56q","16","","","","0.000013659045036625924","0.1156009251258273","","","","","","","","","","","","","","","","","","","","","","","2.4617402199344034","0.07976933420612065","0.12160570805484627","0.008373123878078344","15","0.4272104644333013","0.43244502833113074"
"dainty-sweep-17","","false","failed","-","","","2026-04-22T19:36:10.000Z","353","4z2bc56q","32","","","","0.00020636260111633005","0.14291474948775318","","","","","","","","","","","","","","","","","","","","","","","1.2908829883514006","0.07228336588276991","0.45350342683761213","0.00000122247949119395","12","0.38824518176261336","0.39929753448814154"
"super-sweep-11","","false","failed","-","","","2026-04-22T18:32:07.000Z","297","4z2bc56q","32","","","","0.0006890400680314417","0.06553137362351108","","","","","","","","","","","","","","","","","","","","","","","2.187487966995402","0.19344647115443905","0.28644990225572453","0.006362969705171768","10","0.3899064102442935","0.3991833389736712"
"crimson-sweep-10","","false","failed","-","","","2026-04-22T18:22:09.000Z","593","4z2bc56q","32","","","","0.0007672140673102492","0.23422103629514868","","","","","","","","","","","","","","","","","","","","","","","2.081604601135528","0.00978600881911238","0.28198267913436514","0.001415671079838774","22","0.3719429975608364","0.3851880924776197"
