epoch,train_loss,val_loss,epoch_time_seconds
1,5.7316000394821165,4.147832226753235,10.251071453094482
2,3.702811017036438,3.3020822381973267,8.240018844604492
3,3.217908401489258,3.0107124423980713,8.260635375976562
4,3.0162286024093627,2.857180426120758,8.306158304214478
5,2.8876936340332033,2.7468814969062807,8.160107851028442
6,2.7803238372802737,2.672217745780945,8.118624448776245
7,2.7325952377319336,2.6076404786109926,8.1564199924469
8,2.6820659165382383,2.558170373439789,8.169414281845093
9,2.6344156532287597,2.516507420539856,8.163755178451538
10,2.5872483072280885,2.476799879074097,8.219227075576782
11,2.5609682784080507,2.4415129804611206,8.155637979507446
12,2.529505026340485,2.4195347952842714,8.227249383926392
13,2.501170070648193,2.388951301574707,8.1952064037323
14,2.4862130808830263,2.3645149636268616,8.21955919265747
15,2.450814699649811,2.3427091312408446,8.150086164474487
16,2.4293839297294615,2.3228770542144774,8.195386171340942
17,2.4076279242038727,2.2999226796627044,8.193679332733154
18,2.4001277787685393,2.2833265578746795,8.28100037574768
19,2.375565626859665,2.26999764919281,8.159377813339233
20,2.364038468360901,2.2547602641582487,8.162539720535278
21,2.3514002516269685,2.2437713384628295,8.179994583129883
22,2.3418798732757566,2.233669605255127,8.17944598197937
23,2.3258810300827024,2.2220728397369385,8.117164134979248
24,2.30988733792305,2.212951419353485,8.221808910369873
25,2.304147070169449,2.202554453611374,8.16166639328003
26,2.281737591743469,2.1976888298988344,8.192407131195068
27,2.2808035504817963,2.1934134554862976,8.152304410934448
28,2.2754558923244477,2.194624240398407,8.195249795913696
29,2.250175444364548,2.191060969829559,8.110392093658447
30,2.2591137285232543,2.1972483265399934,8.283289194107056
31,2.2510237209796906,2.215251612663269,8.110191583633423
32,2.233885415315628,2.1980089259147646,8.239555597305298
33,2.19766183423996,2.233267240524292,8.29823637008667
34,2.1810763218402864,2.2301121127605437,8.238967895507812
35,2.1542058727741242,2.238921399116516,8.275890827178955
36,2.111025063276291,2.2725903511047365,8.272397756576538
37,2.0869417643547057,2.302279440164566,8.268218517303467
38,2.022970357179642,2.3738193559646605,8.296120405197144
39,1.9955943443775177,2.3980994534492495,8.308617115020752
40,1.9267245812416076,2.3982275700569153,8.256948947906494
41,1.8812357108592987,2.4542303502559664,8.129847764968872
42,1.8380375909805298,2.4276693046092985,8.127601861953735
43,1.7977243955135345,2.4886943197250364,7.9932475090026855
44,1.7434590921401978,2.5287635171413423,8.166615724563599
45,1.692050240278244,2.589992709159851,8.115872859954834
46,1.6449173493385314,2.6121353626251222,8.014714002609253
47,1.607156397342682,2.6685961067676542,8.093907594680786
48,1.5483171286582946,2.6894764947891234,8.166056871414185
49,1.5206081466674806,2.710638315677643,8.181096315383911
50,1.4878905789852142,2.7523053073883057,8.168580770492554
