"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_filters","early_terminate.eta","early_terminate.min_iter","early_terminate.type","learning_rate","method","metric.goal","metric.name","parameters.base_filterss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.vector_loss_weight.distribution","parameters.vector_loss_weight.max","parameters.vector_loss_weight.min","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","vector_loss_weight","weight_decay","epoch","train_loss","val_loss"
"expert-sweep-25","","false","finished","-","","","2026-03-04T08:57:34.000Z","253","l4zdrf29","32","","","","0.0006946112262046806","","","","","","","","","","","","","","1.02772393090889","0.00011232723257566176","36","0.15802087780833243","0.18023503959178924"
"colorful-sweep-24","","false","finished","-","","","2026-03-04T08:53:36.000Z","233","l4zdrf29","32","","","","0.0003413928272848612","","","","","","","","","","","","","","1.023673975937922","0.0000021103793377915367","33","0.16757518482208253","0.1809352232515812"
"pleasant-sweep-23","","false","finished","-","","","2026-03-04T08:50:11.000Z","201","l4zdrf29","32","","","","0.0003002374240180717","","","","","","","","","","","","","","1.0530186352690205","0.00034108733194342843","27","0.17636561980843543","0.1919896000623703"
"faithful-sweep-22","","false","finished","-","","","2026-03-04T08:46:44.000Z","202","l4zdrf29","32","","","","0.0004042363340918401","","","","","","","","","","","","","","1.0225364795900171","0.006897444348060055","29","0.16776872438192367","0.1791641256213188"
"robust-sweep-21","","false","finished","-","","","2026-03-04T08:42:09.000Z","270","l4zdrf29","32","","","","0.00008088652195362905","","","","","","","","","","","","","","1.0189715148717156","0.0000018900826718661992","40","0.1758681438565254","0.1867743916809559"
"rose-sweep-20","","false","finished","-","","","2026-03-04T08:37:42.000Z","266","l4zdrf29","32","","","","0.00004091664261294261","","","","","","","","","","","","","","1.1261135025733982","0.005264934943150125","40","0.20135941243171693","0.2027533921599388"
"daily-sweep-19","","false","finished","-","","","2026-03-04T08:33:15.000Z","265","l4zdrf29","8","","","","0.0006982384776218696","","","","","","","","","","","","","","1.1276237031738623","0.0000010498278054798391","40","0.20721930754184725","0.20438167750835415"
"fresh-sweep-18","","false","finished","-","","","2026-03-04T08:29:59.000Z","195","l4zdrf29","8","","","","0.0007859087640158757","","","","","","","","","","","","","","1.0519186819162654","0.0000028085500037899795","28","0.19683979350328443","0.20233414351940152"
"pretty-sweep-17","","false","finished","-","","","2026-03-04T08:25:48.000Z","248","l4zdrf29","32","","","","0.0007651864319990637","","","","","","","","","","","","","","1.1348712003464314","0.000001894140584121844","37","0.17233175405859946","0.19368294924497603"
"daily-sweep-16","","false","finished","-","","","2026-03-04T08:21:58.000Z","225","l4zdrf29","32","","","","0.0003971268893261237","","","","","","","","","","","","","","1.164835428554155","0.000001064886907324143","33","0.184570519387722","0.19940751582384109"
